,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
521,24.0,female,2,own,little,little,3190.0,18,radio/TV
737,35.0,male,2,own,moderate,little,4380.0,18,car
740,32.0,male,2,own,moderate,little,2325.0,24,car
660,23.0,male,2,rent,little,rich,1297.0,12,radio/TV
411,35.0,male,2,own,little,little,7253.0,33,car
678,64.0,male,2,rent,little,little,2384.0,24,radio/TV
626,41.0,male,2,own,little,rich,2116.0,6,furniture/equipment
513,20.0,male,2,rent,little,moderate,585.0,12,radio/TV
859,26.0,male,2,rent,moderate,little,3577.0,9,car
136,27.0,male,2,own,rich,little,7882.375,27,car
811,28.0,male,2,own,little,moderate,484.0,6,radio/TV
76,34.0,male,2,own,little,little,3965.0,42,radio/TV
636,28.0,female,2,own,quite rich,little,1376.0,24,radio/TV
973,36.0,male,2,rent,little,little,7297.0,42,business
938,42.0,male,2,free,little,moderate,6288.0,42,education
899,42.0,male,2,own,little,little,4153.0,18,furniture/equipment
280,23.0,male,2,rent,rich,little,3368.0,15,car
883,64.5,female,2,own,little,little,1098.0,18,radio/TV
761,24.0,female,2,rent,little,little,2124.0,18,furniture/equipment
319,27.0,female,2,own,little,little,3643.0,15,furniture/equipment
549,35.0,male,2,free,little,little,7882.375,42,car
174,26.0,male,2,own,little,little,3414.0,21,education
371,33.0,male,2,own,little,little,6070.0,18,radio/TV
527,42.0,male,2,own,little,little,1503.0,4,radio/TV
210,33.0,male,2,own,little,little,3074.0,9,radio/TV
235,30.0,male,2,own,little,little,1823.0,24,radio/TV
101,24.0,male,2,rent,little,moderate,2323.0,36,radio/TV
986,33.0,male,2,own,little,rich,6289.0,42,business
902,42.0,male,2,free,little,little,7882.375,36,car
947,38.0,male,2,own,little,little,2859.0,12,car
346,23.0,male,2,own,little,moderate,882.0,13,radio/TV
139,44.0,female,2,rent,little,rich,1881.0,12,radio/TV
621,32.0,male,2,own,little,little,1530.0,18,car
499,28.0,male,2,own,moderate,rich,1323.0,6,car
370,36.0,male,2,own,little,little,3079.0,36,car
198,36.0,male,2,free,little,moderate,2760.0,24,car
687,30.0,male,2,free,moderate,moderate,2862.0,36,car
584,52.0,female,2,free,little,little,2133.0,12,car
901,44.0,male,2,own,little,little,3485.0,20,car
59,23.0,female,2,rent,little,little,6229.0,36,furniture/equipment
328,31.0,male,2,own,little,rich,4473.0,36,radio/TV
96,61.0,female,2,own,little,little,2012.0,12,education
312,26.0,female,2,own,little,rich,3749.0,24,furniture/equipment
974,33.0,female,2,own,little,little,2831.0,30,radio/TV
299,32.0,male,2,own,rich,moderate,2745.0,21,furniture/equipment
277,49.0,male,2,own,little,little,1262.0,12,furniture/equipment
924,55.0,male,2,own,little,little,6872.0,24,furniture/equipment
601,30.0,female,2,own,little,moderate,918.0,9,furniture/equipment
439,26.0,female,2,own,little,rich,609.0,12,business
837,23.0,female,2,rent,little,little,601.0,4,furniture/equipment
570,23.0,female,2,rent,little,little,3234.0,24,furniture/equipment
879,36.0,male,2,own,little,little,6742.0,30,radio/TV
261,55.0,female,2,own,little,little,1603.0,24,radio/TV
578,27.0,male,2,own,little,moderate,2820.0,36,car
23,44.0,male,2,own,moderate,moderate,1804.0,12,car
30,36.0,male,2,own,rich,moderate,1913.0,18,business
617,37.0,male,2,rent,little,little,3676.0,6,car
10,25.0,female,2,rent,little,moderate,1295.0,12,car
221,23.0,female,2,rent,little,little,1200.0,12,education
820,27.0,male,2,own,little,little,1101.0,12,car
296,20.0,female,2,rent,little,little,4675.0,12,car
54,57.0,male,2,free,little,moderate,2225.0,36,car
542,31.0,male,2,own,little,little,6350.0,30,furniture/equipment
209,55.0,male,2,own,rich,little,1413.0,12,car
604,23.0,female,2,own,little,rich,1275.0,10,furniture/equipment
692,29.0,male,2,own,moderate,moderate,2896.0,24,radio/TV
662,50.0,male,2,own,little,little,2241.0,21,furniture/equipment
866,27.0,female,2,own,little,little,2389.0,18,radio/TV
70,30.0,female,2,own,little,little,7882.375,36,car
543,34.0,male,2,own,little,rich,2864.0,18,furniture/equipment
107,32.0,male,2,own,little,moderate,6078.0,12,car
493,38.0,male,2,own,little,moderate,368.0,6,radio/TV
590,58.0,female,2,own,little,little,385.0,12,radio/TV
741,23.0,male,2,own,little,moderate,1048.0,10,radio/TV
292,44.0,female,2,free,little,little,6419.0,24,car
289,48.0,male,2,own,little,little,1024.0,24,radio/TV
652,45.0,male,2,own,little,little,2303.0,24,car
39,24.0,male,2,own,little,moderate,458.0,9,radio/TV
589,60.0,male,2,own,little,little,2246.0,12,furniture/equipment
307,33.0,male,2,own,moderate,little,727.0,12,radio/TV
679,26.0,female,2,own,little,little,1453.0,18,radio/TV
66,29.0,female,2,own,little,little,2171.0,12,radio/TV
275,32.0,male,2,own,little,little,2697.0,9,radio/TV
67,22.0,male,2,own,rich,moderate,1007.0,12,car
318,32.0,male,2,own,little,little,701.0,12,education
548,24.0,female,2,own,little,little,626.0,12,radio/TV
998,23.0,male,2,free,little,little,1845.0,42,radio/TV
714,27.0,male,2,own,little,moderate,7882.375,42,car
753,25.0,female,2,own,little,little,5771.0,30,radio/TV
327,34.0,female,2,own,rich,little,1525.0,24,car
382,25.0,female,2,rent,little,little,1283.0,22,car
451,29.0,female,2,own,little,little,518.0,6,radio/TV
522,53.0,male,2,free,little,little,7119.0,42,furniture/equipment
218,24.0,male,2,rent,little,little,3021.0,24,furniture/equipment
787,38.0,male,2,own,little,little,2751.0,42,car
436,23.0,male,2,rent,quite rich,little,660.0,6,repairs
764,27.0,male,2,own,moderate,little,2463.0,24,car
88,30.0,male,2,own,moderate,little,2249.0,18,car
63,25.0,male,2,own,little,moderate,7882.375,42,business
826,33.0,female,2,rent,little,little,3966.0,18,car
