,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
521,24.0,female,2,own,little,little,3190.0,18,radio/TV
737,35.0,male,2,own,moderate,little,4380.0,18,car
740,32.0,male,2,own,moderate,little,2325.0,24,car
660,23.0,male,2,rent,little,rich,1297.0,12,radio/TV
411,35.0,male,2,own,little,little,7253.0,33,car
678,64.0,male,2,rent,little,little,2384.0,24,radio/TV
626,41.0,male,2,own,little,rich,2116.0,6,furniture/equipment
513,20.0,male,2,rent,little,moderate,585.0,12,radio/TV
859,26.0,male,2,rent,moderate,little,3577.0,9,car
136,27.0,male,2,own,rich,little,7882.375,27,car
811,28.0,male,2,own,little,moderate,484.0,6,radio/TV
76,34.0,male,2,own,little,little,3965.0,42,radio/TV
636,28.0,female,2,own,quite rich,little,1376.0,24,radio/TV
973,36.0,male,2,rent,little,little,7297.0,42,business
938,42.0,male,2,free,little,moderate,6288.0,42,education
899,42.0,male,2,own,little,little,4153.0,18,furniture/equipment
280,23.0,male,2,rent,rich,little,3368.0,15,car
883,64.5,female,2,own,little,little,1098.0,18,radio/TV
761,24.0,female,2,rent,little,little,2124.0,18,furniture/equipment
319,27.0,female,2,own,little,little,3643.0,15,furniture/equipment
549,35.0,male,2,free,little,little,7882.375,42,car
174,26.0,male,2,own,little,little,3414.0,21,education
371,33.0,male,2,own,little,little,6070.0,18,radio/TV
527,42.0,male,2,own,little,little,1503.0,4,radio/TV
210,33.0,male,2,own,little,little,3074.0,9,radio/TV
235,30.0,male,2,own,little,little,1823.0,24,radio/TV
101,24.0,male,2,rent,little,moderate,2323.0,36,radio/TV
986,33.0,male,2,own,little,rich,6289.0,42,business
902,42.0,male,2,free,little,little,7882.375,36,car
947,38.0,male,2,own,little,little,2859.0,12,car
